"","x"
"1",-0.0780332092344283
"2",-0.0262053211980589
"3",0.0256225668383105
"4",0.0774504548750703
"5",0.12927834291144
"6",0.181106230947809
"7",0.232934118984179
"8",0.283583121556659
"9",0.327748254075211
"10",0.378986699379441
"11",0.43081458741581
"12",0.48264247545257
"13",0.53447036348894
"14",0.586298251525309
"15",0.638126139561679
"16",0.683470157544901
"17",0.73529804558127
"18",0.78535760542122
"19",0.830112180671913
"20",0.880761183244003
"21",0.929052414887924
"22",0.979701417460014
"23",1.03152930549638
"24",1.07333666708638
"25",1.12447834701745
"26",1.16815080217741
"27",1.2092285908977
"28",1.23874982798594
"29",1.26833356115887
"30",1.29649122693104
"31",1.32160682818533
"32",1.33996891352198
"33",1.3631188761818
"34",1.38318272769504
"35",1.39810390749533
"36",1.41567786637195
"37",1.43128559180518
"38",1.44606066769544
"39",1.45837433439215
"40",1.46994243344317
"41",1.48042151918283
"42",1.49036373998125
"43",1.49987427641579
"44",1.50812461250964
"45",1.51609876173396
"46",1.52202089423167
"47",1.52594101145505
"48",1.52834968442067
"49",1.5296738960531
"50",1.53011362422626
"51",1.52959922177469
"52",1.52827159185642
"53",1.52682697362202
"54",1.52653653722087
"55",1.52848451011383
"56",1.53101560194543
"57",1.5327382821379
"58",1.53407955499606
"59",1.53607011542392
"60",1.53854329372857
"61",1.53995978776653
"62",1.53996264496003
"63",1.53904688642459
"64",1.53755311843139
"65",1.53482206426203
"66",1.53162970663761
"67",1.52664099214999
"68",1.52042498028556
"69",1.51297397237693
"70",1.50659034280227
"71",1.5005346861205
"72",1.4943776449202
"73",1.48896463906582
"74",1.48547493561161
"75",1.48432517102205
"76",1.4862802931341
"77",1.49141006199213
"78",1.49874096565906
"79",1.50859462244042
"80",1.52135870588833
"81",1.53711935240266
"82",1.55381737100725
"83",1.56913649726073
"84",1.5881797813801
"85",1.60477432266481
"86",1.62585912156998
"87",1.64676182051883
"88",1.66252158763614
"89",1.6790841704186
"90",1.69421159967405
"91",1.7069641930116
"92",1.71870929168757
"93",1.72749038075078
"94",1.73463271190664
"95",1.74049554761827
"96",1.74606303891264
"97",1.75337307116347
"98",1.76221846205973
"99",1.77240553200222
"100",1.78283030421454
"101",1.79169655713206
"102",1.80177901788446
"103",1.81189439534108
"104",1.81982188531456
"105",1.82505391761933
"106",1.82898761846254
"107",1.83344955164697
"108",1.83920910770985
"109",1.84533715667266
"110",1.85042915860661
"111",1.85427465406679
"112",1.85820513045744
"113",1.86191035714841
"114",1.86496130965218
"115",1.86795871520379
"116",1.87124958658706
"117",1.87374348312836
"118",1.87632319493268
"119",1.87767911830428
