"","x"
"1",-33.0549912321402
"2",-32.8653398950678
"3",-32.6756885579955
"4",-32.4860372209217
"5",-32.2963858838494
"6",-32.1067345467771
"7",-31.9170832097047
"8",-31.727431872631
"9",-31.5377805355586
"10",-31.3481291984863
"11",-31.158477861414
"12",-30.9688265243402
"13",-30.7791751872679
"14",-30.5895238501956
"15",-30.3998725131232
"16",-30.2102211760495
"17",-30.0205698389771
"18",-29.8309185019048
"19",-29.6412671648325
"20",-29.4516158277602
"21",-29.2619644906864
"22",-29.0723131536141
"23",-28.8826618165417
"24",-28.6930104794694
"25",-28.5075321022627
"26",-28.3241001369424
"27",-28.1470791267228
"28",-27.9778309922969
"29",-27.8172151302739
"30",-27.6660463965085
"31",-27.5240526908054
"32",-27.3908558023479
"33",-27.2643125072964
"34",-27.1435983276911
"35",-27.0297910201023
"36",-26.926553179349
"37",-26.8372451426369
"38",-26.7636785614787
"39",-26.705521596738
"40",-26.6611886841842
"41",-26.6297469932931
"42",-26.6110021578258
"43",-26.6045252703868
"44",-26.6102665703343
"45",-26.6286111376345
"46",-26.660481935366
"47",-26.7058100413834
"48",-26.7633838311519
"49",-26.8331492113364
"50",-26.9167675843746
"51",-27.0150425112549
"52",-27.1208168783434
"53",-27.2295083070081
"54",-27.3402514101103
"55",-27.4552564941974
"56",-27.5760901701329
"57",-27.7060764930583
"58",-27.8478640578189
"59",-28.0008444203066
"60",-28.1604291615419
"61",-28.3268371345585
"62",-28.4979534585237
"63",-28.6777004662626
"64",-28.868530788178
"65",-29.0690439031106
"66",-29.2768934938801
"67",-29.4939805688915
"68",-29.7172876893936
"69",-29.9440472320091
"70",-30.1746045643063
"71",-30.4102541766933
"72",-30.6482081847502
"73",-30.8869847991273
"74",-31.1252358283813
"75",-31.3607664246971
"76",-31.5928555091183
"77",-31.8210362607735
"78",-32.0455990599336
"79",-32.266525215348
"80",-32.4826015522105
"81",-32.6945060468394
"82",-32.9051552088561
"83",-33.117396859105
"84",-33.3302997648924
"85",-33.5138397248186
"86",-33.7095921999862
"87",-33.8906744354128
"88",-34.0563893239589
"89",-34.1973040045758
"90",-34.334687843769
"91",-34.458422435096
"92",-34.5691016463801
"93",-34.6676261869331
"94",-34.7551962357214
"95",-34.8305115239199
"96",-34.8924796754746
"97",-34.9424715537366
"98",-34.9824185380585
"99",-35.0107654662669
"100",-35.0249611293419
"101",-35.0264927433209
"102",-35.0181133215495
"103",-35.0020380001534
"104",-34.9771231333205
"105",-34.9389787853276
"106",-34.8876634372007
"107",-34.8257529210653
"108",-34.7536895342887
"109",-34.6731226810452
"110",-34.5873303599645
"111",-34.5005587625401
"112",-34.4129530559394
"113",-34.3195969391982
"114",-34.2160593161521
"115",-34.1071229528171
"116",-33.9861416824903
"117",-33.8577696516316
"118",-33.7252481682595
"119",-33.5891253616622
"120",-33.4490035962893
"121",-33.3053921941091
"122",-33.1586349585766
"123",-33.0091652671404
"124",-32.8578551178242
"125",-32.7063830502675
"126",-32.5571368909675
"127",-32.4119901129028
"128",-32.2675983131812
"129",-32.1215847066763
"130",-31.9740243542303
"131",-31.8241728886756
"132",-31.670156284721
"133",-31.5127937557609
"134",-31.3557574555834
"135",-31.2052786068761
"136",-31.0636544351938
"137",-30.9297100795761
"138",-30.8039112911266
"139",-30.6890617416737
"140",-30.5858890653266
"141",-30.4935151782885
"142",-30.4118468911441
"143",-30.3398271163697
"144",-30.2755865332212
"145",-30.2222239149247
"146",-30.1779804110385
"147",-30.1416733145214
"148",-30.1104855012384
"149",-30.0799731702762
"150",-30.0434065129792
"151",-29.9996745000908
"152",-29.9498319375076
"153",-29.8946694549847
"154",-29.8408317061121
"155",-29.7932720183111
"156",-29.7484495901278
"157",-29.696495576826
"158",-29.633945012403
"159",-29.5622403466378
"160",-29.4823268175211
"161",-29.389532341977
"162",-29.285740403253
"163",-29.1797732448846
"164",-29.0735224198962
"165",-28.9646992264393
"166",-28.8531361594946
"167",-28.7368542078611
"168",-28.6124046356067
"169",-28.4791194636741
"170",-28.3320146739908
"171",-28.1728333737561
"172",-28.0052443638483
"173",-27.8257884356766
"174",-27.6389193333804
"175",-27.4500946787886
"176",-27.2494588735616
"177",-27.0412632812112
"178",-26.8273969028108
"179",-26.6041204797979
"180",-26.3762250838857
"181",-26.1452539331027
"182",-25.9066221305768
"183",-25.6657562044299
"184",-25.4173282950924
"185",-25.138648203773
"186",-24.8839365761557
"187",-24.6232809070864
"188",-24.3638882704712
"189",-24.0961940823992
"190",-23.821857172632
"191",-23.5416301400888
"192",-23.2600976136931
"193",-22.9691599410673
"194",-22.6664605930313
"195",-22.3538583270726
"196",-22.0368663924
"197",-21.7113010364894
"198",-21.3830603920261
"199",-21.0652221006165
"200",-20.7579102241415
"201",-20.4715886598797
"202",-20.1965964529335
"203",-19.9337734878521
"204",-19.6751499684802
"205",-19.4191182934696
"206",-19.1663959594405
"207",-18.9130637649703
"208",-18.6772324922598
"209",-18.4495661117362
"210",-18.2370513469428
"211",-18.0295849266404
"212",-17.8346790525322
"213",-17.6444596982397
"214",-17.4641732616284
"215",-17.293794130504
"216",-17.1291640153837
"217",-16.9794580817725
"218",-16.8459668249627
"219",-16.7306822881187
"220",-16.6354944926753
"221",-16.5581270569598
"222",-16.4971799973442
"223",-16.4526730272775
"224",-16.4186915182953
"225",-16.3879766393371
"226",-16.3621234858183
"227",-16.3416259138257
"228",-16.333554872268
"229",-16.3400411912716
"230",-16.3566855462299
"231",-16.3813696021
"232",-16.4110931603441
"233",-16.4420855746486
"234",-16.4706842401236
"235",-16.4946347088623
"236",-16.5124764454511
"237",-16.5209970798045
"238",-16.5165016759051
"239",-16.503043314283
"240",-16.4827807661901
"241",-16.4539690544976
"242",-16.4191686438915
"243",-16.3765834614589
"244",-16.3274135919519
"245",-16.2763084411889
"246",-16.2228579507934
"247",-16.1692709539349
"248",-16.1144419996281
"249",-16.0555102544175
"250",-15.9960607469656
"251",-15.9336991300501
"252",-15.8654894637881
"253",-15.7951671438745
"254",-15.7241716552754
"255",-15.6565146920765
"256",-15.5950036330645
"257",-15.5330733190781
"258",-15.4696272567095
"259",-15.4049497333928
"260",-15.3358187692566
"261",-15.26342769051
"262",-15.1892792604774
"263",-15.1147365878828
"264",-15.044030556977
"265",-14.9740276951726
"266",-14.9006046415013
"267",-14.8229836346153
"268",-14.7415200025271
"269",-14.6524207876573
"270",-14.5531989618696
"271",-14.4455215963133
"272",-14.3270122510329
"273",-14.2006633344745
"274",-14.0692853053404
"275",-13.9400849049487
"276",-13.809869505543
"277",-13.6749809799309
"278",-13.5359694855235
"279",-13.3887119997804
"280",-13.2418016893087
"281",-13.1016799404293
"282",-12.9670374475367
"283",-12.8424836431266
"284",-12.7268657395917
"285",-12.6206846930355
