"","V1","V2"
"1",1581463080,-1.7880056220523
"2",1581463440,-1.78801352571317
"3",1581463800,-1.78802143450631
"4",1581464160,-1.7880293381169
"5",1581464520,-1.7880372468596
"6",1581464880,-1.78804515041966
"7",1581465240,-1.78805305911164
"8",1581465600,-1.78806097293545
"9",1581465960,-1.78806889189096
"10",1581466320,-1.78807681597806
"11",1581466680,-1.78808474519665
"12",1581467040,-1.78809267954661
"13",1581467400,-1.78810060871352
"14",1581467760,-1.78810853269735
"15",1581468120,-1.7881164514981
"16",1581468480,-1.78812436511573
"17",1581468840,-1.78813227355023
"18",1581469200,-1.78814017680159
"19",1581469560,-1.78814807486978
"20",1581469920,-1.78815596775478
"21",1581470280,-1.78816385545657
"22",1581470640,-1.78817173797514
"23",1581471000,-1.78817961531045
"24",1581471360,-1.78818748746251
"25",1581471720,-1.78819535443128
"26",1581472080,-1.78820321621674
"27",1581472440,-1.78821107281888
"28",1581472800,-1.78821892423768
"29",1581473160,-1.78822677047311
"30",1581473520,-1.78823461152516
"31",1581473880,-1.78824244739381
"32",1581474240,-1.78825027807904
"33",1581474600,-1.78825810358083
"34",1581474960,-1.78826592389916
"35",1581475320,-1.78827373903401
"36",1581475680,-1.78828154898536
"37",1581476040,-1.78828935375319
"38",1581476400,-1.78829715333749
"39",1581476760,-1.78830494773822
"40",1581477120,-1.78831273695538
"41",1581477480,-1.78832052098895
"42",1581477840,-1.78832829983889
"43",1581478200,-1.78833607350521
"44",1581478560,-1.78834384198787
"45",1581478920,-1.78835160528685
"46",1581479280,-1.78835936340214
"47",1581479640,-1.78836711633372
"48",1581480000,-1.78837486408157
"49",1581480360,-1.78838260664567
"50",1581480720,-1.78839034402599
"51",1581481080,-1.78839807622252
"52",1581481440,-1.78840580323525
"53",1581481800,-1.78841352506414
"54",1581482160,-1.78842124170919
"55",1581482520,-1.78842895317037
"56",1581482880,-1.78843665944766
"57",1581483240,-1.78844436054104
"58",1581483600,-1.7884520564505
"59",1581483960,-1.78845974717601
"60",1581484320,-1.78846743271755
"61",1581484680,-1.78847511307511
"62",1581485040,-1.78848278824867
"63",1581485400,-1.7884904582382
"64",1581485760,-1.78849812304369
"65",1581486120,-1.78850578266511
"66",1581486480,-1.78851343710246
"67",1581486840,-1.7885210863557
"68",1581487200,-1.78852873042482
"69",1581487560,-1.7885363693098
"70",1581487920,-1.78854400301062
"71",1581488280,-1.78855163152727
"72",1581488640,-1.78855925485971
"73",1581489000,-1.78856687300794
"74",1581489360,-1.78857448597192
"75",1581489720,-1.78858209375165
"76",1581490080,-1.78858969634711
"77",1581490440,-1.78859729375827
"78",1581490800,-1.78860488598511
"79",1581491160,-1.78861247302762
"80",1581491520,-1.78862005488577
"81",1581491880,-1.78862763155955
"82",1581492240,-1.78863520304894
"83",1581492600,-1.78864276935392
"84",1581492960,-1.78865033047446
"85",1581493320,-1.78865788641055
"86",1581493680,-1.78866543716217
"87",1581494040,-1.7886729827293
"88",1581494400,-1.78868052311192
"89",1581494760,-1.78868805831001
"90",1581495120,-1.78869558832355
"91",1581495480,-1.78870311315253
"92",1581495840,-1.78871063279692
"93",1581496200,-1.7887181472567
"94",1581496560,-1.78872565653185
"95",1581496920,-1.78873316062236
"96",1581497280,-1.7887406595282
"97",1581497640,-1.78874815324936
"98",1581498000,-1.78875564178581
"99",1581498360,-1.78876312513754
"100",1581498720,-1.78877060330453
"101",1581499080,-1.78877807628676
"102",1581499440,-1.7887855440842
"103",1581499800,-1.78879300669684
"104",1581500160,-1.78880046412466
"105",1581500520,-1.78880792667772
"106",1581500880,-1.78881539435589
"107",1581501240,-1.78882285684909
"108",1581501600,-1.7888303141573
"109",1581501960,-1.78883777659038
"110",1581502320,-1.78884524414823
"111",1581502680,-1.78885271683074
"112",1581503040,-1.78886018432803
"113",1581503400,-1.7888676466401
"114",1581503760,-1.78887511407659
"115",1581504120,-1.78888257632776
"116",1581504480,-1.78889004370316
"117",1581504840,-1.78889750589317
"118",1581505200,-1.78890497320723
"119",1581505560,-1.78891244564524
"120",1581505920,-1.78891992320708
"121",1581506280,-1.78892740589264
"122",1581506640,-1.78893489370182
"123",1581507000,-1.78894238663449
"124",1581507360,-1.78894988469054
"125",1581507720,-1.78895738786988
"126",1581508080,-1.78896489617237
"127",1581508440,-1.78897239928886
"128",1581508800,-1.78897989721933
"129",1581509160,-1.78898740027272
"130",1581509520,-1.78899489813999
"131",1581509880,-1.78900239082114
"132",1581510240,-1.78900987831614
"133",1581510600,-1.78901736062497
"134",1581510960,-1.78902483774761
"135",1581511320,-1.78903230968405
"136",1581511680,-1.78903977643426
"137",1581512040,-1.78904723799823
"138",1581512400,-1.78905469437592
"139",1581512760,-1.78906214556734
"140",1581513120,-1.78906959157245
"141",1581513480,-1.78907703239124
"142",1581513840,-1.78908446802368
"143",1581514200,-1.78909189846976
"144",1581514560,-1.78909932372946
"145",1581514920,-1.78910674380276
"146",1581515280,-1.78911415868964
"147",1581515640,-1.78912156839008
"148",1581516000,-1.78912897290406
"149",1581516360,-1.78913637223156
"150",1581516720,-1.78914376637256
"151",1581517080,-1.78915115532704
"152",1581517440,-1.78915853909498
"153",1581517800,-1.78916591767637
"154",1581518160,-1.78917329107119
"155",1581518520,-1.7891806592794
"156",1581518880,-1.789188022301
"157",1581519240,-1.78919538013597
"158",1581519600,-1.78920273278428
"159",1581519960,-1.78921008024592
"160",1581520320,-1.78921742252087
"161",1581520680,-1.78922475960911
"162",1581521040,-1.78923209151061
"163",1581521400,-1.78923941822536
"164",1581521760,-1.78924673975334
"165",1581522120,-1.78925405609453
"166",1581522480,-1.78926136724891
"167",1581522840,-1.78926867321647
"168",1581523200,-1.78927597399717
"169",1581523560,-1.78928326959101
"170",1581523920,-1.78929055999796
"171",1581524280,-1.789297845218
"172",1581524640,-1.78930512525112
"173",1581525000,-1.78931240009729
"174",1581525360,-1.78931966975649
"175",1581525720,-1.78932693422871
"176",1581526080,-1.78933419351393
"177",1581526440,-1.78934144761213
"178",1581526800,-1.78934869652328
"179",1581527160,-1.78935594024737
"180",1581527520,-1.78936317878437
"181",1581527880,-1.78937041213428
"182",1581528240,-1.78937764029707
"183",1581528600,-1.78938486327271
"184",1581528960,-1.7893920810612
"185",1581529320,-1.78939929366251
"186",1581529680,-1.78940650107662
"187",1581530040,-1.78941370330351
"188",1581530400,-1.78942090034316
"189",1581530760,-1.78942809219556
"190",1581531120,-1.78943527886068
"191",1581531480,-1.78944246033851
"192",1581531840,-1.78944963662902
"193",1581532200,-1.7894568077322
"194",1581532560,-1.78946397364802
"195",1581532920,-1.78947113437647
"196",1581533280,-1.78947828991753
"197",1581533640,-1.78948544027118
"198",1581534000,-1.78949258543739
"199",1581534360,-1.78949972541615
"200",1581534720,-1.78950686020745
"201",1581535080,-1.78951398981125
"202",1581535440,-1.78952111422754
"203",1581535800,-1.78952823345631
"204",1581536160,-1.78953534749752
"205",1581536520,-1.78954245635117
"206",1581536880,-1.78954956001723
"207",1581537240,-1.78955665849569
"208",1581537600,-1.78956375178652
"209",1581537960,-1.7895708398897
"210",1581538320,-1.78957792280522
"211",1581538680,-1.78958500053306
"212",1581539040,-1.78959207307319
"213",1581539400,-1.7895991404256
"214",1581539760,-1.78960620259026
"215",1581540120,-1.78961325956716
"216",1581540480,-1.78962031135629
"217",1581540840,-1.78962736826252
"218",1581541200,-1.78963443028574
"219",1581541560,-1.78964149742585
"220",1581541920,-1.78964856968274
"221",1581542280,-1.78965564705628
"222",1581542640,-1.7896627192417
"223",1581543000,-1.78966978623897
"224",1581543360,-1.78967685835266
"225",1581543720,-1.78968393554638
"226",1581544080,-1.7896910178563
"227",1581544440,-1.7896981052823
"228",1581544800,-1.78970519782428
"229",1581545160,-1.78971229548211
"230",1581545520,-1.7897193982557
"231",1581545880,-1.78972650614492
"232",1581546240,-1.78973361914967
"233",1581546600,-1.78974073726983
"234",1581546960,-1.7897478605053
"235",1581547320,-1.78975498885595
"236",1581547680,-1.78976212232169
"237",1581548040,-1.78976926090239
"238",1581548400,-1.78977640459795
"239",1581548760,-1.78978355340826
"240",1581549120,-1.7897907073332
"241",1581549480,-1.78979786637266
"242",1581549840,-1.78980503052653
"243",1581550200,-1.78981219979469
"244",1581550560,-1.78981937417705
"245",1581550920,-1.78982655367348
"246",1581551280,-1.78983373828387
"247",1581551640,-1.78984092800811
"248",1581552000,-1.7898481228461
"249",1581552360,-1.78985532279771
"250",1581552720,-1.78986252786284
"251",1581553080,-1.78986973804137
"252",1581553440,-1.7898769533332
"253",1581553800,-1.78988417373821
"254",1581554160,-1.78989139925629
"255",1581554520,-1.78989862988733
"256",1581554880,-1.78990586563122
"257",1581555240,-1.78991310648784
"258",1581555600,-1.78992035245709
"259",1581555960,-1.78992759323588
"260",1581556320,-1.78993482882418
"261",1581556680,-1.78994206952487
"262",1581557040,-1.78994930503499
"263",1581557400,-1.78995653535453
"264",1581557760,-1.7899637707862
"265",1581558120,-1.78997100102721
"266",1581558480,-1.78997822607752
"267",1581558840,-1.78998544593713
"268",1581559200,-1.78999266060601
"269",1581559560,-1.78999987008414
"270",1581559920,-1.79000707437151
"271",1581560280,-1.79001427346809
"272",1581560640,-1.79002146737386
"273",1581561000,-1.79002865608881
"274",1581561360,-1.79003583961291
"275",1581561720,-1.79004301794615
"276",1581562080,-1.79005019108851
"277",1581562440,-1.79005735903996
"278",1581562800,-1.79006452180049
"279",1581563160,-1.79007167937008
"280",1581563520,-1.79007883174871
"281",1581563880,-1.79008597893635
"282",1581564240,-1.790093120933
"283",1581564600,-1.79010025773862
"284",1581564960,-1.79010738935321
"285",1581565320,-1.79011451577674
"286",1581565680,-1.79012163700919
"287",1581566040,-1.79012875305055
"288",1581566400,-1.79013586390078
"289",1581566760,-1.79014296955988
"290",1581567120,-1.79015007002783
"291",1581567480,-1.7901571653046
"292",1581567840,-1.79016425539017
"293",1581568200,-1.79017134028454
"294",1581568560,-1.79017841998766
"295",1581568920,-1.79018549449954
"296",1581569280,-1.79019256382014
"297",1581569640,-1.79019962794945
"298",1581570000,-1.79020668688745
"299",1581570360,-1.79021374063412
"300",1581570720,-1.79022078918944
"301",1581571080,-1.79022783255339
"302",1581571440,-1.79023487072595
"303",1581571800,-1.79024190367083
"304",1581572160,-1.79024893142428
"305",1581572520,-1.79025595398628
"306",1581572880,-1.79026297135682
"307",1581573240,-1.79026998353587
"308",1581573600,-1.79027699052341
"309",1581573960,-1.79028399231943
"310",1581574320,-1.79029098892391
"311",1581574680,-1.79029798033682
"312",1581575040,-1.79030496655815
"313",1581575400,-1.79031194758788
"314",1581575760,-1.79031892342598
"315",1581576120,-1.79032589407244
"316",1581576480,-1.79033286982759
"317",1581576840,-1.79033985065503
"318",1581577200,-1.79034682629069
"319",1581577560,-1.79035380703474
"320",1581577920,-1.79036078258691
"321",1581578280,-1.79036775294719
"322",1581578640,-1.79037472841562
"323",1581579000,-1.79038170895582
"324",1581579360,-1.79038868430397
"325",1581579720,-1.79039565446005
"326",1581580080,-1.79040261942405
"327",1581580440,-1.79040958949579
"328",1581580800,-1.79041655437535
"329",1581581160,-1.79042352436247
"330",1581581520,-1.79043049942076
"331",1581581880,-1.79043746928673
"332",1581582240,-1.79044444425996
"333",1581582600,-1.79045142434036
"334",1581582960,-1.79045840437803
"335",1581583320,-1.7904653792232
"336",1581583680,-1.79047235917526
"337",1581584040,-1.79047934423409
"338",1581584400,-1.79048633439959
"339",1581584760,-1.79049332963538
"340",1581585120,-1.79050032994133
"341",1581585480,-1.79050733535362
"342",1581585840,-1.79051434587212
"343",1581586200,-1.79052136149674
"344",1581586560,-1.79052838219108
"345",1581586920,-1.79053540795504
"346",1581587280,-1.79054243878849
"347",1581587640,-1.79054947472761
"348",1581588000,-1.79055651577227
"349",1581588360,-1.79056356192238
"350",1581588720,-1.79057061317782
"351",1581589080,-1.79057766953847
"352",1581589440,-1.79058473096795
"353",1581589800,-1.79059179750243
"354",1581590160,-1.79059886914178
"355",1581590520,-1.79060594588591
"356",1581590880,-1.7906130277347
"357",1581591240,-1.79062011468803
"358",1581591600,-1.7906272067458
"359",1581591960,-1.79063430387161
"360",1581592320,-1.79064140610164
"361",1581592680,-1.79064851343577
"362",1581593040,-1.79065562587389
"363",1581593400,-1.79066274341588
"364",1581593760,-1.79066986602537
"365",1581594120,-1.7906769937385
"366",1581594480,-1.79068412655519
"367",1581594840,-1.79069126443902
"368",1581595200,-1.79069840742618
"369",1581595560,-1.79070555551654
"370",1581595920,-1.79071270871
"371",1581596280,-1.79071986700645
"372",1581596640,-1.79072703036949
"373",1581597000,-1.79073419879902
"374",1581597360,-1.7907413723312
"375",1581597720,-1.79074855092964
"376",1581598080,-1.79075573463051
"377",1581598440,-1.79076292339742
"378",1581598800,-1.79077011723025
"379",1581599160,-1.79077731616518
"380",1581599520,-1.79078452020209
"381",1581599880,-1.79079172930459
"382",1581600240,-1.79079894350885
"383",1581600600,-1.79080616277848
"384",1581600960,-1.79081338714964
"385",1581601320,-1.79082060632506
"386",1581601680,-1.79082782030472
"387",1581602040,-1.79083503934939
"388",1581602400,-1.79084226345896
"389",1581602760,-1.7908494926696
"390",1581603120,-1.7908567269812
"391",1581603480,-1.79086395606048
"392",1581603840,-1.79087117990742
"393",1581604200,-1.7908784088188
"394",1581604560,-1.79088563249775
"395",1581604920,-1.79089285098054
"396",1581605280,-1.7909000745638
"397",1581605640,-1.7909072929508
"398",1581606000,-1.79091450610525
"399",1581606360,-1.79092171406341
"400",1581606720,-1.79092891678899
"401",1581607080,-1.79093611431823
"402",1581607440,-1.79094330665112
"403",1581607800,-1.79095049378764
"404",1581608160,-1.79095767569149
"405",1581608520,-1.79096485239893
"406",1581608880,-1.79097202390995
"407",1581609240,-1.79097919018824
"408",1581609600,-1.79098635123379
"409",1581609960,-1.79099350704658
"410",1581610320,-1.79100065762659
"411",1581610680,-1.79100780301007
"412",1581611040,-1.79101494319701
"413",1581611400,-1.79102207818738
"414",1581611760,-1.79102920794489
"415",1581612120,-1.79103633246952
"416",1581612480,-1.79104345179753
"417",1581612840,-1.79105056589263
"418",1581613200,-1.79105767475478
"419",1581613560,-1.79106477838398
"420",1581613920,-1.79107187678021
"421",1581614280,-1.79107896994344
"422",1581614640,-1.79108605787366
"423",1581615000,-1.79109314057084
"424",1581615360,-1.79110021803497
"425",1581615720,-1.79110729026603
"426",1581616080,-1.79111435730027
"427",1581616440,-1.7911214191014
"428",1581616800,-1.79112847566939
"429",1581617160,-1.79113552704051
"430",1581617520,-1.79114257317847
"431",1581617880,-1.79114961408323
"432",1581618240,-1.79115664975478
"433",1581618600,-1.79116368019311
"434",1581618960,-1.7911707156931
"435",1581619320,-1.79117774595977
"436",1581619680,-1.79118477099311
"437",1581620040,-1.79119180108787
"438",1581620400,-1.79119883624393
"439",1581620760,-1.79120586616652
"440",1581621120,-1.79121290115023
"441",1581621480,-1.79121994119495
"442",1581621840,-1.79122698630059
"443",1581622200,-1.79123403646702
"444",1581622560,-1.79124108139968
"445",1581622920,-1.79124813139296
"446",1581623280,-1.79125517618866
"447",1581623640,-1.79126222608108
"448",1581624000,-1.79126928103383
"449",1581624360,-1.79127634104679
"450",1581624720,-1.79128340615613
"451",1581625080,-1.79129047632547
"452",1581625440,-1.79129755155468
"453",1581625800,-1.79130463184367
"454",1581626160,-1.79131171719231
"455",1581626520,-1.7913188076005
"456",1581626880,-1.79132590306813
"457",1581627240,-1.79133300359508
"458",1581627600,-1.79134010918124
"459",1581627960,-1.7913472198265
"460",1581628320,-1.79135433553075
"461",1581628680,-1.79136145633015
"462",1581629040,-1.79136858222459
"463",1581629400,-1.79137571317769
"464",1581629760,-1.79138284918932
"465",1581630120,-1.79138999025939
"466",1581630480,-1.79139713638778
"467",1581630840,-1.79140428761064
"468",1581631200,-1.79141144389161
"469",1581631560,-1.79141860526683
"470",1581631920,-1.79142577169992
"471",1581632280,-1.79143294319077
"472",1581632640,-1.79144011977555
"473",1581633000,-1.79144730141787
"474",1581633360,-1.79145448811761
"475",1581633720,-1.79146166958164
"476",1581634080,-1.79146885610293
"477",1581634440,-1.79147604768135
"478",1581634800,-1.7914832443168
"479",1581635160,-1.79149044600916
"480",1581635520,-1.79149765275833
"481",1581635880,-1.79150486456418
"482",1581636240,-1.79151208142662
"483",1581636600,-1.79151930334552
"484",1581636960,-1.79152653032078
"485",1581637320,-1.79153376235229
"486",1581637680,-1.79154099943992
"487",1581638040,-1.79154824158358
"488",1581638400,-1.79155548878314
"489",1581638760,-1.79156274103851
"490",1581639120,-1.79156999834956
"491",1581639480,-1.79157726075246
"492",1581639840,-1.79158452821082
"493",1581640200,-1.79159180072453
"494",1581640560,-1.79159906803762
"495",1581640920,-1.79160633011378
"496",1581641280,-1.791613586953
"497",1581641640,-1.79162083859154
"498",1581642000,-1.79162808502936
"499",1581642360,-1.7916353365221
"500",1581642720,-1.79164258277778
"501",1581643080,-1.79164982379637
"502",1581643440,-1.79165705961413
"503",1581643800,-1.79166430052276
"504",1581644160,-1.79167153619421
"505",1581644520,-1.79167876666472
"506",1581644880,-1.79168599189801
"507",1581645240,-1.79169321189404
"508",1581645600,-1.79170042665281
"509",1581645960,-1.7917076361743
"510",1581646320,-1.79171484045848
"511",1581646680,-1.7917220395416
"512",1581647040,-1.79172923338739
"513",1581647400,-1.7917364219958
"514",1581647760,-1.79174360536684
"515",1581648120,-1.79175078350047
"516",1581648480,-1.79175795639668
"517",1581648840,-1.79176512405545
"518",1581649200,-1.79177228647675
"519",1581649560,-1.79177944366058
"520",1581649920,-1.79178659560691
"521",1581650280,-1.79179374231571
"522",1581650640,-1.79180088378698
"523",1581651000,-1.79180802002069
"524",1581651360,-1.79181515101682
"525",1581651720,-1.79182227677535
"526",1581652080,-1.79182939729627
"527",1581652440,-1.79183651257955
"528",1581652800,-1.79184362262517
"529",1581653160,-1.79185072743312
"530",1581653520,-1.79185782700338
"531",1581653880,-1.79186492133592
"532",1581654240,-1.79187201043073
"533",1581654600,-1.79187909428778
"534",1581654960,-1.79188617294334
"535",1581655320,-1.79189324636111
"536",1581655680,-1.79190031454106
"537",1581656040,-1.79190737748318
"538",1581656400,-1.79191443518746
"539",1581656760,-1.79192148765386
"540",1581657120,-1.79192853488237
"541",1581657480,-1.79193557687298
"542",1581657840,-1.79194261362566
