"","x"
"1",6.8892761310116
"2",6.83075462523103
"3",6.77223311945045
"4",6.71371161366944
"5",6.65519010788886
"6",6.59666860210829
"7",6.53814709632772
"8",6.4796255905467
"9",6.42110408476613
"10",6.36258257898556
"11",6.30406107320498
"12",6.24553956742397
"13",6.18701806164339
"14",6.12849655586282
"15",6.06997505008225
"16",6.01145354430123
"17",5.95293203852066
"18",5.89441053274008
"19",5.83588902695951
"20",5.77736752117893
"21",5.71884601539792
"22",5.66032450961735
"23",5.60180300383677
"24",5.5432814980562
"25",5.48488291282104
"26",5.43698248118358
"27",5.39984061019334
"28",5.36306256890369
"29",5.32493869439594
"30",5.28574935725896
"31",5.24393879049807
"32",5.19822657638238
"33",5.14668012245847
"34",5.08968426762772
"35",5.0300123731661
"36",4.96852728889348
"37",4.90693556987497
"38",4.84526850252127
"39",4.78275005951332
"40",4.71972848945224
"41",4.6560792929573
"42",4.5916550956477
"43",4.52620101724535
"44",4.45963114018762
"45",4.39340783302165
"46",4.32910933095903
"47",4.2693452278568
"48",4.21452753508351
"49",4.16504292489255
"50",4.1190978332273
"51",4.07498343154622
"52",4.03021560500222
"53",3.98565738236828
"54",3.94510866605913
"55",3.91196954837877
"56",3.88590382623973
"57",3.86623736871549
"58",3.85392478365132
"59",3.84731985676953
"60",3.84594621180825
"61",3.85084954096071
"62",3.86036658338077
"63",3.87419431903695
"64",3.89105236125034
"65",3.9099375678774
"66",3.93117884768456
"67",3.95343634370416
"68",3.97459311562667
"69",3.99318163840822
"70",4.00947630070932
"71",4.02417264561637
"72",4.03947213467301
"73",4.05409568098865
"74",4.06684307504224
"75",4.07482233382527
"76",4.0776089748722
"77",4.07626838185325
"78",4.07433064701622
"79",4.0725581533056
"80",4.07364744302526
"81",4.07971037776321
"82",4.09394463658534
"83",4.11684770428928
"84",4.14450443650121
"85",4.172998044471
"86",4.20709227718149
"87",4.24391083781241
"88",4.28412963070539
"89",4.32284088476425
"90",4.36675084268326
"91",4.4107523810847
"92",4.45540566585647
"93",4.49948171208432
"94",4.54053587507158
"95",4.5777900943605
"96",4.60814058574653
"97",4.63239411328518
"98",4.65018098616202
"99",4.66343002078113
"100",4.67598585971856
"101",4.68977429945284
"102",4.7046630004017
"103",4.71897772219734
"104",4.72859401984987
"105",4.73326121336227
"106",4.73734060838673
"107",4.74117449184259
"108",4.74386125349726
"109",4.74594788910846
"110",4.74662941382079
"111",4.74478644161254
"112",4.73898357029719
"113",4.72921066480699
"114",4.71558833982927
"115",4.69724950686984
"116",4.67407835767111
"117",4.64786497974422
"118",4.62037487589575
"119",4.59343560023106
"120",4.5672387048964
"121",4.53937531859499
"122",4.51182329773619
"123",4.48535294112477
"124",4.46349526280144
"125",4.4506230928116
"126",4.44845579970363
"127",4.45504317968647
"128",4.46743526270452
"129",4.48245312625577
"130",4.498160134833
"131",4.5126477636129
"132",4.52424804158295
"133",4.53341769761796
"134",4.54057261414109
"135",4.54482088112797
"136",4.54517533706773
"137",4.54247249257933
"138",4.53954023446582
"139",4.53755850543528
"140",4.53969227150346
"141",4.54705277654863
"142",4.56199388572332
"143",4.58773544689293
"144",4.62272907295931
"145",4.6655148301562
"146",4.71151492476595
"147",4.76043312557913
"148",4.81199478155689
"149",4.86403986590337
"150",4.91698032007781
"151",4.97226867793496
"152",5.02990903772308
"153",5.08920746558604
"154",5.1503815434447
"155",5.210751286201
"156",5.26781713468675
"157",5.32459198287337
"158",5.38002286264794
"159",5.43433055686862
"160",5.49145897252357
"161",5.55267313123545
"162",5.61747439566131
"163",5.68613681255229
"164",5.76058433238837
"165",5.84189818966232
"166",5.9294524059878
"167",6.0231176587689
"168",6.12023048320577
"169",6.2192535210534
"170",6.32244694397088
"171",6.42933527561429
"172",6.53742031738743
"173",6.64184397605436
"174",6.7404215326856
"175",6.83105211476655
"176",6.91377755714248
"177",6.99023119389763
"178",7.0631349456491
"179",7.13595504902596
"180",7.20899872679283
"181",7.28332406189324
"182",7.36100760255455
"183",7.4406708555412
"184",7.52306144420457
"185",7.61768776577378
"186",7.70456134770674
"187",7.78979335943187
"188",7.87452551377199
"189",7.95705879959434
"190",8.03694123986113
"191",8.1115864447729
"192",8.17666350655465
"193",8.23407062503856
"194",8.28723856335524
"195",8.3396411912045
"196",8.39221986580715
"197",8.44456828498641
"198",8.49598423043288
"199",8.54533179249628
"200",8.58951726486455
"201",8.62595567822039
"202",8.65946061939744
"203",8.6913461620525
"204",8.72271563431385
"205",8.75519208058695
"206",8.78836097928101
"207",8.82381295615077
"208",8.86064266064993
"209",8.89799165965069
"210",8.9346095175494
"211",8.97033585663412
"212",9.0035851506238
"213",9.03414535614235
"214",9.06262324074227
"215",9.08944939726024
"216",9.11363714295743
"217",9.13625498339724
"218",9.15748420693307
"219",9.173045253799
"220",9.17962959379748
"221",9.18235110051413
"222",9.18748861440245
"223",9.19699632145452
"224",9.21078776032497
"225",9.23020932701851
"226",9.25384332470763
"227",9.27861959050638
"228",9.30345379201502
"229",9.32799126867143
"230",9.35136865534703
"231",9.37323710835441
"232",9.39497236054939
"233",9.416981423816
"234",9.44088730746471
"235",9.46704117280024
"236",9.49716864936084
"237",9.52915207687364
"238",9.56012840890674
"239",9.58814995137174
"240",9.61378704741674
"241",9.63960051285746
"242",9.66742788630488
"243",9.69468355835049
"244",9.72050871285941
"245",9.74409724414471
"246",9.76493176358657
"247",9.78517865899998
"248",9.80653154116701
"249",9.83024483902863
"250",9.85868403804439
"251",9.8900289926607
"252",9.92333713898901
"253",9.95789857673868
"254",9.99360190150305
"255",10.0290899553914
"256",10.0622984637473
"257",10.0940321262729
"258",10.1253950577289
"259",10.1543546844241
"260",10.1807110017658
"261",10.2077055854542
"262",10.2346739872266
"263",10.2594405918319
"264",10.2815085732524
"265",10.3016132949573
"266",10.3191964762206
"267",10.3353942139983
"268",10.3530574888414
"269",10.3750519512341
"270",10.3973589765869
"271",10.4154355672698
"272",10.4285029094354
"273",10.4375699682017
"274",10.44068907584
"275",10.4410807632338
"276",10.4412755733999
"277",10.4427662499959
"278",10.4460605679413
"279",10.4519377721206
"280",10.4580211751489
"281",10.463862810097
"282",10.4689744612819
"283",10.471806398902
"284",10.4715995025973
"285",10.4671440625916
"286",10.4595904019931
"287",10.4536834728114
"288",10.4517309927422
"289",10.454777994831
"290",10.4635512501285
"291",10.4773675178274
"292",10.4958570606955
"293",10.5193230910807
"294",10.5469805734942
"295",10.5781315197891
"296",10.6112691154381
